Epoch,Stage,Train_Loss_G,Train_Loss_D,Val_PSNR,Val_SSIM,Val_LPIPS
55,1,0.01132296774818879,0.0,31.15927736490485,0.9362879097994837,0.06994914730203315
60,1,0.011229823791039949,0.0,31.202553594403845,0.9366682301729153,0.07001224939295435
65,1,0.01114129342907816,0.0,31.287430809876287,0.9371562441972017,0.06817362103644552
70,1,0.011070523588723926,0.0,31.356901788683114,0.937441017116616,0.06855872431553381
75,1,0.011003750614629089,0.0,31.402521572442872,0.9378373635156423,0.06778024690482293
80,1,0.010931582678319045,0.0,31.473766728391517,0.9384147824634024,0.06684469481342575
85,1,0.010875219623540006,0.0,31.51332988864123,0.9389332124677953,0.06557731457181235
90,1,0.010823348058954334,0.0,31.546682448208013,0.9394174086315403,0.06614567448602202
95,1,0.01052235397056337,0.0,31.815861935123632,0.9408035576165824,0.06517628248843164
100,1,0.010473810706767292,0.0,31.864833060658682,0.9411015350973599,0.06464088865215394
105,1,0.010441380055345569,0.0,31.892665992127192,0.9413997342206925,0.06461193667670304
110,1,0.010401297627391224,0.0,31.92460319664625,0.9415101020835167,0.06365597829140487
115,1,0.010374009945439949,0.0,31.953233240613216,0.9418385606758923,0.06392411871040746
120,1,0.010351096953474944,0.0,31.95983092445096,0.9420126559269449,0.06333997858089567
125,1,0.010325824609866857,0.0,31.99760799942517,0.9420798129635903,0.06269949387823391
130,1,0.010299427094101619,0.0,32.02668990247223,0.9421638000487712,0.06332618855473074
135,1,0.010279566922620675,0.0,32.04340712684354,0.9423882555556425,0.06250530160234916
140,1,0.010257050954253737,0.0,32.06774961656947,0.942321860530793,0.06249200207274019
145,1,0.010240301062833747,0.0,32.08293600713631,0.9425847736155625,0.06226952362208048
150,1,0.010219433240673172,0.0,32.10546606356144,0.9427442549948332,0.06217998494024816
155,1,0.010200271145334169,0.0,32.121615679973495,0.9428073697027595,0.06177790337961365
160,1,0.010179185862154235,0.0,32.13116414815667,0.9429865711205903,0.06180994567662904
165,1,0.010158305045185896,0.0,32.142231536323855,0.9429769016620156,0.06161522070977772
170,1,0.010146075613106344,0.0,32.159143612792825,0.9432179613097764,0.06237323249850731
175,1,0.010129514738702172,0.0,32.200936912281854,0.9434632365733439,0.06162928554552097
180,1,0.010114738220073256,0.0,32.218254044998524,0.9433101925845649,0.06160589549401703
185,1,0.010094056230948433,0.0,32.223638826846795,0.9434203350906508,0.06090967204104098
190,1,0.010076248927532765,0.0,32.241638983156115,0.9434771766851683,0.06116972778816627
195,1,0.010066081257593043,0.0,32.25181771177725,0.943606957180129,0.060919241071164996
200,1,0.010058366346131522,0.0,32.2656592918992,0.9438434437441555,0.06054451338364812
205,1,0.010042570660251644,0.0,32.285872585089635,0.9439545888664755,0.06060842015226824
210,1,0.0100297981113303,0.0,32.2786783759766,0.9438692378052375,0.06047920594475031
215,1,0.010013906962084713,0.0,32.29549085233776,0.9437712019728136,0.06122928139790848
220,1,0.010007618898447384,0.0,32.31733081080619,0.9440784211946373,0.060261632272497166
225,1,0.009988011493068525,0.0,32.322920004242434,0.9440615433237705,0.060520802262990545
230,1,0.00997971110808003,0.0,32.34520155372688,0.9442631935675229,0.06013950896124507
235,1,0.009963157261743084,0.0,32.36094468707618,0.9441898044334257,0.06004242574075236
240,1,0.009955812791400509,0.0,32.378753870814485,0.9442412947783814,0.06028522385787452
245,1,0.00994350674991394,0.0,32.37537395861722,0.9442680847914928,0.059856368694732105
250,1,0.009933846565602273,0.0,33.32,0.9572,0.05975101164835919
